pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
DU9dgBU6Yh2JjsYcjtRY21G14dhQxn6Xm5PT949Sa4tA,"STRCx / USDC",raydium-clmm,strategy-pp-variable-xstock,usd-coin,strategy-pp-variable-xstock,144356208,above,single_subject:cg_mcap,1782049,3418090
9jP2H9FbqkYQtKYkehsq3XcGn36FFb15cCo96EBu339s,"STRCx / DIVI",raydium,strategy-pp-variable-xstock,,DIVI,4827683,below,min_cap_of_two:gt_fdv,1137420,0
GSc6ipypcnceSSrKudFEp9zRaTqqRQGoB8wxU1QLDzNZ,"STRCx / haMSTR",raydium,strategy-pp-variable-xstock,,haMSTR,140644,below,min_cap_of_two:gt_fdv,188618,2056227
DppCVaAGq5VA9gGK32u21JNqBf5d7jqH7RGDEvj39gQY,"STRCx / USDC",raydium-clmm,strategy-pp-variable-xstock,usd-coin,strategy-pp-variable-xstock,144356208,above,single_subject:cg_mcap,160915,2983651
CEH9iBXkV4DmdLhogftD24cbvFu6uFYMAkPUqyas1Mbq,"STRCx / USDC",byreal,strategy-pp-variable-xstock,usd-coin,strategy-pp-variable-xstock,144356208,above,single_subject:cg_mcap,108171,406666
6MTo2UWKFxTDjRPxKWh13UNoeFEWb6t2WDfkcfXnt5Aq,"STRCx / STRCAT",raydium,strategy-pp-variable-xstock,,STRCAT,19671,below,min_cap_of_two:gt_fdv,74089,0
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,"USELESS / SOL",meteora,useless-3,wrapped-solana,useless-3,239581692,above,single_subject:cg_mcap,4681241,119306215
HsQGWEh3ib6w59rBh5n1jXmi8VXFBqKEjxozL6PGfcgb,"USELESS / SOL",orca,useless-3,wrapped-solana,useless-3,239581692,above,single_subject:cg_mcap,3417257,37090212
ELp3rjbAncW8FLAPvmWS6vjG4FXFLDo1HiKh4PhQBgvx,"USELESS / USDC",humidifi,useless-3,usd-coin,useless-3,239581692,above,single_subject:cg_mcap,1389177,11980464
FZuTAARDYJapX7HqniQEzzDboNY8RT4FXCrakVFJap2R,"USEFUL / USELESS",raydium-clmm,,useless-3,USEFUL,3299970,below,min_cap_of_two:gt_fdv,1374589,14488421
9Ux4vtd8juEH4NMF4ae3tXYpKBdeCUUipX8z3EficKme,"USELESS / USDC",meteora,useless-3,usd-coin,useless-3,239581692,above,single_subject:cg_mcap,129850,20974298
6QQMtvj4k4Pr1mbFuM4u3cqn8ge4Giuq5KuzVNJm84kD,"USELESS / SOL",meteora,useless-3,wrapped-solana,useless-3,239581692,above,single_subject:cg_mcap,69534,985122
BoUQqUW696wFDGG5dH5dBW5y5gt7hMh26tXxyKBWVgjq,"USELESS / USDC",byreal,useless-3,usd-coin,useless-3,239581692,above,single_subject:cg_mcap,36843,1238924
8bCaqhnpeeVXXbx7oHyytsWecpHoiXhqeRBEdMEwEu7n,"USELESS / USDC",meteora,useless-3,usd-coin,useless-3,239581692,above,single_subject:cg_mcap,36184,1326642
BsGYtmN56soj5wpyXHkP4HsMtbC7yzcv1rzM46bRNAxk,"USELESS / SOL",meteora,useless-3,wrapped-solana,useless-3,239581692,above,single_subject:cg_mcap,28458,336491
FaoZEZFsRS2jJAzg5PXwNjDdA1hDAjDGAkDf4xRfY79w,"ZBCN / SOL",orca,zebec-network,wrapped-solana,zebec-network,185524240,above,single_subject:cg_mcap,94326,2272101
5VXPSSnSxa2bP9HPdHXt9pCXVyfwXwRN8HRE2pyoN88M,"ZBCN / USDC",meteora,zebec-network,usd-coin,zebec-network,185524240,above,single_subject:cg_mcap,72930,3946530
6Mo8W6b67brHWokLNeXPdfwH7B1ir3xYCGd4EcBen6eM,"ZBCN / USDC",meteora,zebec-network,usd-coin,zebec-network,185524240,above,single_subject:cg_mcap,52255,1254369
7U8DUKAds4SKeKU9zWNdM6iVXrsLc7fx8VUY5sw2zjWz,"ZBCN / SOL",meteora,zebec-network,wrapped-solana,zebec-network,185524240,above,single_subject:cg_mcap,42417,1175402
