pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x65818645f86f5019680ad79ba7606943d672a5e9,"USDC / WHYPE 0.05%",kittenswap-algebra,usd-coin,wrapped-hype,,,above,both_quote,33377,15914232
0x467364bd2a633208b4534f5b7ec11d24604546e4,"UBTC / kHYPE 0.3%",project-x,unit-bitcoin,kinetic-staked-hype,,,above,both_quote,33041,2519560
0x709ca66bf2e0f76fc957d88dc0f34d3662ab2754,"UPUMP / WHYPE 0.43%",ramses-v3-hyperevm,unit-pump,wrapped-hype,unit-pump,1657726337,above,single_subject:cg_mcap,32845,7460
0xcb6d2c0e0903c7d6a0fab165407d6adb371e52e4,"vkHYPE / kHYPE 0.01%",hypertrade,kinetiq-earn-vault,kinetic-staked-hype,kinetiq-earn-vault,61407892,below,single_subject:cg_mcap,32228,46319
0x535f30f50ebda33575242c38b976e681d13db6fa,"NEST / WHYPE 2%",nest,nest-2,wrapped-hype,nest-2,2690759,below,single_subject:cg_mcap,30540,2253597
0x4bc0c3c0947d968043762149eaa51abbf35c2687,"wNVDAx / WHYPE 1%",project-x,,wrapped-hype,wNVDAx,203457,below,single_subject:gt_fdv,30073,1045920
0x955dadf7bd49c941b6c5f9c19ee845c656cff85d,"kHYPE / WHYPE 0.005%",hybra-finance-v4,kinetic-staked-hype,wrapped-hype,,,above,both_quote,29584,5984966
0xaa00bf46394774938922e282f6c4b07f5059651f,"feUSD / USDe",curve-hyperevm,felix-feusd,ethena-usde,felix-feusd,73939634,below,single_subject:cg_mcap,32388,268163
0x5cbe810071de393de35e574fb2830e16da794bab,"kHYPE / WHYPE 0.01%",hyperswap-v3,kinetic-staked-hype,wrapped-hype,,,above,both_quote,28718,1724753
0x6d6e9d95c40cd9041c71b620177ddce33a3137f6,"XAUt0 / WHYPE 0.3%",project-x,tether-gold-tokens,wrapped-hype,tether-gold-tokens,121909771,above,single_subject:cg_mcap,28185,1274464
0xc8819a6ce017139cceb5710b44be104667187a7c,"USD₮0 / USDe",curve-hyperevm,usdt0,ethena-usde,usdt0,183398859944,above,single_subject:cg_mcap,29149,335567
0x975e8f75b5f2d9c1d2f3a35e957459ea2b08ea30,"USDC / WHYPE 0.1%",hypertrade,usd-coin,wrapped-hype,,,above,both_quote,27320,492067
0x6ae099fd8695c51f94954f93ca3fcb6c9bddb2a4,"UBTC / UETH 0.3%",project-x,unit-bitcoin,unit-ethereum,,,above,both_quote,26146,905749
0xdb544d63d32d9f3e52ff3a8bfe2a374df0463f8d,"NEST / USDC 2%",nest,nest-2,usd-coin,nest-2,2690759,below,single_subject:cg_mcap,25712,1234735
0xb0588a09096f1029b25d14f788a480044d8c546b,"USDe / USD₮0 0.01%",hyperswap-v3,ethena-usde,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,26851,517657
